phase_index,mean_phi,b_0,b_1,b_2
0,-0.10055238,0.25329944,0.05772884,0.16927009
1,0.18967774,0.26037841,0.06291455,-0.10299252
2,0.11437557,0.25545677,-0.06869799,-0.20087864
3,-0.16329696,0.00864097,-0.27140011,0.20076366
4,-0.17794150,-0.04969420,0.09996797,0.06116159
5,-0.34165147,-0.24630644,0.05494334,0.23435874
6,0.31178291,-0.15802749,0.14342951,0.06460495
7,0.29568641,-0.24900742,0.11344142,-0.08012180
8,0.17879969,-0.11346065,-0.08623727,0.05629331
9,-0.02377363,-0.02769573,0.08694663,-0.01693095
10,-0.34413109,-0.02150629,-0.10423665,0.05956687
11,-0.07003519,0.07173363,-0.25473035,0.04705231
12,0.19270277,-0.01080703,0.00849923,-0.00448360
13,1.28267814,0.07049580,-0.06329585,-0.29015911
14,-0.68515579,0.06040610,0.17937047,0.01552658
15,0.15372009,-0.02210306,0.06830601,0.05400947
16,0.22308629,0.07996135,0.04273148,-0.01497562
17,0.47252152,-0.10601427,0.04948585,-0.09008407
18,-0.02997133,-0.03817353,-0.01823522,0.07883391
19,-0.03729752,-0.10242645,-0.01208589,-0.06184965
20,-0.24624006,-0.16038405,-0.26119626,0.08264527
21,-0.56586579,0.03105667,-0.02790939,-0.00258340
22,1.09085225,0.10028997,0.20521540,0.02562116
23,0.31397164,-0.02560974,-0.08532199,-0.07465260
24,0.04368591,0.08040150,0.01260938,0.10882319
25,-0.00580643,0.00722793,-0.01499443,0.01644568
26,-0.13223028,-0.04465838,-0.16708875,-0.00079044
27,-0.13296293,0.12597721,0.00744662,-0.11324447
28,0.00208909,-0.00738685,0.01584113,-0.13972553
29,-0.00070715,0.01389221,0.00564299,0.00409717
30,-0.84738768,0.00762917,-0.05220522,-0.08486538
31,-0.29544803,0.08392974,0.16871929,0.00034964
32,0.00363077,-0.00380976,0.00678122,-0.00586599
33,0.01030363,0.01969318,0.00993069,0.00117253
34,0.23094479,0.15866312,0.26076705,-0.05508096
35,0.80672911,-0.07359027,0.00471826,-0.21925295
36,0.07967675,0.12222793,0.05119496,0.26086098
37,0.00573678,0.00043819,0.00752446,-0.05788798
38,0.00489481,-0.02196950,-0.07383343,-0.07163048
39,0.00004432,-0.00177777,-0.00265798,-0.00676818
40,-0.02644784,0.03806979,-0.04958171,-0.15854952
41,-0.81126423,0.06335516,0.10051041,-0.02550265
42,-0.54619643,0.08585176,0.13040601,0.12491087
43,-0.58830596,0.07994676,-0.09724441,0.21437033
44,-0.19989900,0.04421994,0.19246350,0.14685821
45,0.04815876,-0.05879859,-0.06747538,0.17156533
46,-0.03077419,0.05833543,0.27155012,-0.06580434
47,0.00047479,-0.01220563,-0.23089650,-0.14191679
48,-0.90454766,-0.01707084,-0.00852568,-0.00182109
49,1.05303037,-0.04439348,-0.00495292,-0.05046113
50,0.00845142,0.03957409,-0.07169013,-0.03376224
51,-0.00419823,-0.00450099,0.04674064,-0.00435610
52,-0.50529456,0.08053755,0.07510544,0.15695373
53,-0.03444601,-0.04291068,-0.15716087,-0.17007918
54,-0.05902559,0.06362924,0.00707633,0.01020563
55,0.32052372,-0.05167733,-0.01450420,-0.29402210
56,0.34140563,0.03829959,-0.05516544,0.10557260
57,-1.20448200,-0.09584376,-0.16301779,0.09765614
58,-0.04932046,0.06146551,-0.00588219,-0.04811060
59,0.12673161,0.09085565,-0.10136606,-0.04116529
60,0.13720254,0.03032151,-0.06593538,-0.20955385
61,0.00804974,0.12181065,0.16111356,0.01250248
62,0.00060623,-0.04305245,-0.09418782,-0.07378386
63,-0.16688733,-0.10192003,0.29856444,-0.00508717
64,-0.16924075,-0.18630874,0.03213451,-0.05935642
65,0.40779674,-0.23842171,0.15467269,-0.14340398
66,0.16761518,-0.04774523,0.11934756,-0.12784839
67,-0.13353752,0.06926318,-0.00165775,0.06786897
68,0.15676514,0.17396640,-0.05197763,0.10480142
69,0.10066219,0.18904029,-0.11810165,0.19430101
70,-0.46298271,0.46539138,-0.08448076,-0.16954153
